Field Id,Field name,Rule,Rule type,Action,Rule note,Message,Message,Condition (if present):,Description
lctr.transaction.completingActions.details.account.currencyCode,Currency type,122692,Format,Reject,,Invalid format.,362,Account,"Reject this report if the user provided text that is not between 3 and 3 characters, containing only alpha characters.
"
lctr.transaction.completingActions.details.account.currencyCode,Currency type,122693,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Account,"Reject this report if the user provided a value not in the list:
	 - All ISO Currencies
"
lctr.transaction.completingActions.details.account.dateOpened,Date account opened,122700,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.dispositionCode is one of Life insurance policy purchase/deposit (7), Purchase of jewellery (14), Purchase precious metals (15), Added to virtual currency wallet (17), Holding funds (21), Purchase of precious stones (22).
"
lctr.transaction.completingActions.details.account.dateOpened,Date account opened,122701,Format,Reject,,Invalid format.,362,Account,"Reject this report if the user provided a date that is not in the following format: yyyy-MM-dd.
"
lctr.transaction.completingActions.details.account.dateOpened,Date account opened,122702,Content,Reject,,The field cannot contain a future date.,304,Account,"Reject this report if the user provided a date that is not before today.
"
lctr.transaction.completingActions.details.account.financialInstitutionNumber,Financial institution number,122640,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Account,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.dispositionCode is Deposit to account (1) and lctr.formDetails.reportDetails.activitySectorCode is one of Bank (2), Caisse populaire (3), Co-op credit society (6), Life insurance company (10), Credit union (14), Trust and/or loan company (16), Credit union central (19), Financial services cooperative (20).
"
lctr.transaction.completingActions.details.account.financialInstitutionNumber,Financial institution number,122641,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.dispositionCode is one of Life insurance policy purchase/deposit (7), Purchase of jewellery (14), Purchase precious metals (15), Added to virtual currency wallet (17), Holding funds (21), Purchase of precious stones (22).
"
lctr.transaction.completingActions.details.account.financialInstitutionNumber,Financial institution number,122642,Format,Reject,,Invalid format.,362,Account,"Reject this report if the user provided text that is not between 1 and 50 characters.
"
lctr.transaction.completingActions.details.account.holders,Account holder list,122710,Content,Reject,,"The list cannot be empty, but is required based on the value entered elsewhere in the report.",331,Account,"Reject this report if the list of values is not between 1 and * and if lctr.transaction.completingActions.details.dispositionCode is Deposit to account (1).
"
lctr.transaction.completingActions.details.account.holders.entityName.nameOfEntity,Name of entity,122772,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account / Holder / Entity,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.account.holders.typeCode is not '2'.
"
lctr.transaction.completingActions.details.account.holders.entityName.nameOfEntity,Name of entity,122770,Format,Reject,,Invalid format.,362,Account / Holder / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.details.account.holders.personName.givenName,Given name,122752,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account / Holder / Person,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.account.holders.typeCode is not '1'.
"
lctr.transaction.completingActions.details.account.holders.personName.givenName,Given name,122750,Format,Reject,,Invalid format.,362,Account / Holder / Person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.details.account.holders.personName.otherNameInitial,Other name/initial,122762,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account / Holder / Person,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.account.holders.typeCode is not '1'.
"
lctr.transaction.completingActions.details.account.holders.personName.otherNameInitial,Other name/initial,122760,Format,Reject,,Invalid format.,362,Account / Holder / Person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.details.account.holders.personName.surname,Surname,122742,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account / Holder / Person,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.account.holders.typeCode is not '1'.
"
lctr.transaction.completingActions.details.account.holders.personName.surname,Surname,122740,Format,Reject,,Invalid format.,362,Account / Holder / Person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.details.account.holders.personName.typeCode,Subject type,122735,Content,Reject,,The value entered for the field does not provide what is required.,301,Account / Holder / Person,"Reject this report if the value the user provided is not equal to the value in lctr.transaction.completingActions.details.account.holders.typeCode.
"
lctr.transaction.completingActions.details.account.holders.typeCode,Subject type,122730,Presence,Reject,,Field is mandatory.,329,Account / Holder,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.completingActions.details.account.holders.typeCode,Subject type,122731,Content,Reject,,The value entered for the field does not provide what is required.,301,Account / Holder,"Reject this report if the user provided a value that is not one of 1, 2.
"
lctr.transaction.completingActions.details.account.number,Account number,122660,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Account,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.dispositionCode is Deposit to account (1).
"
lctr.transaction.completingActions.details.account.number,Account number,122661,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.dispositionCode is one of Life insurance policy purchase/deposit (7), Purchase of jewellery (14), Purchase precious metals (15), Added to virtual currency wallet (17), Holding funds (21), Purchase of precious stones (22).
"
lctr.transaction.completingActions.details.account.number,Account number,122662,Format,Reject,,Invalid format.,362,Account,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.details.account.typeCode,Account type,122670,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Account,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.dispositionCode is Deposit to account (1).
"
lctr.transaction.completingActions.details.account.typeCode,Account type,122671,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.dispositionCode is one of Life insurance policy purchase/deposit (7), Purchase of jewellery (14), Purchase precious metals (15), Added to virtual currency wallet (17), Holding funds (21), Purchase of precious stones (22).
"
lctr.transaction.completingActions.details.account.typeCode,Account type,122672,Content,Reject,,Invalid format.,362,Account,"Reject this report if the user provided a value that is not between 1 and 99.
"
lctr.transaction.completingActions.details.account.typeCode,Account type,122673,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,Account,"Reject this report if the user provided a value not in the list:
	 - 1=Personal
	 - 2=Business
	 - 3=Trust
	 - 4=Other
	 - 5=Casino
"
lctr.transaction.completingActions.details.account.typeOther,Account type - other,122680,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Account,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.account.typeCode is Other (4).
"
lctr.transaction.completingActions.details.account.typeOther,Account type - other,122681,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Account,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.account.typeCode is not Other (4).
"
lctr.transaction.completingActions.details.account.typeOther,Account type - other,122682,Format,Reject,,Invalid format.,362,Account,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.details.amount,Amount,122590,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.valueInCanadianDollars is blank and lctr.transaction.completingActions.details.dispositionCode  is not one of Purchase of jewellery (14), Purchase precious metals (15), Purchase of precious stones (22).
"
lctr.transaction.completingActions.details.amount,Amount,122592,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.valueInCanadianDollars is not blank.
"
lctr.transaction.completingActions.details.amount,Amount,122593,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.dispositionCode is one of Purchase of jewellery (14), Purchase precious metals (15), Purchase of precious stones (22).
"
lctr.transaction.completingActions.details.amount,Amount,122591,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided an amount that is not the correct format:
	 - 17 digits (max), decimal separator and 10 digits (max).
	 - If a decimal separator is used, one digit before and two decimal places must be provided.
"
lctr.transaction.completingActions.details.currencyCode,Currency type,122600,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.virtualCurrencyTypeCode is blank and lctr.transaction.completingActions.details.amount is not blank.
"
lctr.transaction.completingActions.details.currencyCode,Currency type,122601,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.virtualCurrencyTypeCode is not blank.
"
lctr.transaction.completingActions.details.currencyCode,Currency type,122602,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 3 and 3 characters, containing only alpha characters.
"
lctr.transaction.completingActions.details.currencyCode,Currency type,122603,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,,"Reject this report if the user provided a value not in the list:
	 - All ISO Currencies
"
lctr.transaction.completingActions.details.dispositionCode,Details of disposition,122570,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.completingActions.details.dispositionCode,Details of disposition,122571,Content,Reject,,Invalid format.,362,,"Reject this report if the user provided a value that is not between 1 and 99.
"
lctr.transaction.completingActions.details.dispositionCode,Details of disposition,122572,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,,"Reject this report if the user provided a value not in the list:
	 - 1=Deposit to account
	 - 3=Exchange to fiat currency
	 - 4=Purchase of casino product
	 - 5=Purchase of bank draft
	 - 6=Purchase of money order
	 - 7=Life insurance policy purchase/deposit
	 - 8=Investment product purchase/deposit
	 - 9=Real estate purchase/deposit
	 - 11=Other
	 - 14=Purchase of jewellery
	 - 15=Purchase precious metals
	 - 17=Added to virtual currency wallet
	 - 18=Exchange to virtual currency
	 - 19=Outgoing virtual currency transfer
	 - 20=Outgoing email money transfer
	 - 21=Holding funds
	 - 22=Purchase of precious stones
	 - 23=Issued cheque
	 - 24=Outgoing domestic funds transfer
	 - 25=Outgoing international funds transfer
	 - 26=Purchase of prepaid payment product/card
	 - 27=Denomination exchange
	 - 28=Payment to account
	 - 29=Purchase of / Payment for goods
	 - 30=Purchase of / Payment for services
	 - 31=Outgoing mobile money transfer
"
lctr.transaction.completingActions.details.dispositionOther,Details of disposition - other,122580,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.dispositionCode is Other (11).
"
lctr.transaction.completingActions.details.dispositionOther,Details of disposition - other,122581,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.dispositionCode is not Other (11).
"
lctr.transaction.completingActions.details.dispositionOther,Details of disposition - other,122582,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.details.exchangeRate,Exchange rate,122630,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided an amount that is not the correct format:
	 - 17 digits (max), decimal separator and 10 digits (max).
	 - If a decimal separator is used, one digit before and two decimal places must be provided.
"
lctr.transaction.completingActions.details.involvementIndicator,Was there any other person or entity involved in the completing action?,122820,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.completingActions.details.involvementIndicator,Was there any other person or entity involved in the completing action?,122821,Presence,Reject,,"The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Reject this report if the user provided 'true' and lctr.transaction.completingActions.involvements is empty or the user provided 'false' and lctr.transaction.completingActions.involvements is not empty.
"
lctr.transaction.completingActions.details.referenceNumber,Reference number,122800,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.details.referenceNumberOtherRelatedNumber,Other number related to reference number,122810,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.details.valueInCanadianDollars,Value in Canadian dollars,122790,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.amount is blank.
"
lctr.transaction.completingActions.details.valueInCanadianDollars,Value in Canadian dollars,122791,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.amount is not blank.
"
lctr.transaction.completingActions.details.valueInCanadianDollars,Value in Canadian dollars,122793,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.dispositionCode is one of Purchase of jewellery (14), Purchase precious metals (15), Purchase of precious stones (22).
"
lctr.transaction.completingActions.details.valueInCanadianDollars,Value in Canadian dollars,122792,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided an amount that is not the correct format:
	 - 17 digits (max), decimal separator and 10 digits (max).
	 - If a decimal separator is used, one digit before and two decimal places must be provided.
"
lctr.transaction.completingActions.details.virtualCurrencyTypeCode,Virtual currency type,122610,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.currencyCode is blank and lctr.transaction.completingActions.details.amount is not blank.
"
lctr.transaction.completingActions.details.virtualCurrencyTypeCode,Virtual currency type,122611,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.currencyCode is not blank.
"
lctr.transaction.completingActions.details.virtualCurrencyTypeCode,Virtual currency type,122612,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 20 characters, containing only alpha and numeric characters.
"
lctr.transaction.completingActions.details.virtualCurrencyTypeCode,Virtual currency type,122613,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,,"Reject this report if the user provided a value not in the list:
	 - Virtual currency list
"
lctr.transaction.completingActions.details.virtualCurrencyTypeOther,Virtual currency type - other,122620,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.completingActions.details.virtualCurrencyTypeCode is Other (OTH).
"
lctr.transaction.completingActions.details.virtualCurrencyTypeOther,Virtual currency type - other,122621,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.completingActions.details.virtualCurrencyTypeCode is not Other (OTH).
"
lctr.transaction.completingActions.details.virtualCurrencyTypeOther,Virtual currency type - other,122622,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.completingActions.involvements.details.accountNumber,Account number,122900,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Involvement,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.involvements.details.identifyingNumber, lctr.transaction.completingActions.involvements.details.policyNumber are not empty.
"
lctr.transaction.completingActions.involvements.details.accountNumber,Account number,122901,Format,Reject,,Invalid format.,362,Involvement,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.involvements.details.identifyingNumber,Identifying number,122920,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Involvement,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.involvements.details.accountNumber, lctr.transaction.completingActions.involvements.details.policyNumber are not empty.
"
lctr.transaction.completingActions.involvements.details.identifyingNumber,Identifying number,122921,Format,Reject,,Invalid format.,362,Involvement,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.involvements.details.policyNumber,Policy number,122910,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Involvement,"Reject this report if the user provided a value and any of lctr.transaction.completingActions.involvements.details.accountNumber, lctr.transaction.completingActions.involvements.details.identifyingNumber are not empty.
"
lctr.transaction.completingActions.involvements.details.policyNumber,Policy number,122911,Format,Reject,,Invalid format.,362,Involvement,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.involvements.entityName.nameOfEntity,Name of entity,122892,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Involvement / Entity,"Reject this report if the user provided a value and lctr.transaction.completingActions.involvements.typeCode is not '2'.
"
lctr.transaction.completingActions.involvements.entityName.nameOfEntity,Name of entity,122890,Format,Reject,,Invalid format.,362,Involvement / Entity,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.involvements.personName.givenName,Given name,122872,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Involvement / Person,"Reject this report if the user provided a value and lctr.transaction.completingActions.involvements.typeCode is not '1'.
"
lctr.transaction.completingActions.involvements.personName.givenName,Given name,122870,Format,Reject,,Invalid format.,362,Involvement / Person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.involvements.personName.otherNameInitial,Other name/initial,122882,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Involvement / Person,"Reject this report if the user provided a value and lctr.transaction.completingActions.involvements.typeCode is not '1'.
"
lctr.transaction.completingActions.involvements.personName.otherNameInitial,Other name/initial,122880,Format,Reject,,Invalid format.,362,Involvement / Person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.involvements.personName.surname,Surname,122862,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Involvement / Person,"Reject this report if the user provided a value and lctr.transaction.completingActions.involvements.typeCode is not '1'.
"
lctr.transaction.completingActions.involvements.personName.surname,Surname,122860,Format,Reject,,Invalid format.,362,Involvement / Person,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.completingActions.involvements.typeCode,Subject type,122850,Presence,Reject,,Field is mandatory.,329,Involvement,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.completingActions.involvements.typeCode,Subject type,122851,Content,Reject,,The value entered for the field does not provide what is required.,301,Involvement,"Reject this report if the user provided a value that is not one of 1, 2.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfPosting,Date/time of posting,121080,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.largeCashTransactionDetails.dateTimeOfTransaction is blank.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfPosting,Date/time of posting,121081,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided a date that is not in the format yyyy-mm-ddThh:mm:ss-zz:zz.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfPosting,Date/time of posting,121082,Content,Reject,,The field cannot contain a future date.,304,,"Reject this report if the user provided a date that is not before now.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfPosting,Date/time of posting,121083,Content,Reject,,"The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Reject this report if the user provided a date that is not between lctr.formDetails.reportDetails.twentyFourHourRule.periodStart and lctr.formDetails.reportDetails.twentyFourHourRule.periodEnd.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfPosting,Date/time of posting,121084,Content,Reject,,The date in the field is too far in the past.,308,,"Reject this report if the user provided a date that is not after 2003-01-31.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfTransaction,Date/time of transaction,121050,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.largeCashTransactionDetails.methodCode is not one of Night deposit (8), Quick drop (9).
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfTransaction,Date/time of transaction,121051,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided a date that is not in the format yyyy-mm-ddThh:mm:ss-zz:zz.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfTransaction,Date/time of transaction,121052,Content,Reject,,The field cannot contain a future date.,304,,"Reject this report if the user provided a date that is not before now.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfTransaction,Date/time of transaction,121053,Content,Reject,,"The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Reject this report if the user provided a date that is not between lctr.formDetails.reportDetails.twentyFourHourRule.periodStart and lctr.formDetails.reportDetails.twentyFourHourRule.periodEnd.
"
lctr.transaction.largeCashTransactionDetails.dateTimeOfTransaction,Date/time of transaction,121054,Content,Reject,,The date in the field is too far in the past.,308,,"Reject this report if the user provided a date that is not after 2003-01-31.
"
lctr.transaction.largeCashTransactionDetails.methodCode,Method of transaction,121060,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.largeCashTransactionDetails.methodCode,Method of transaction,121061,Content,Reject,,The value entered is not in FINTRAC's list of values for the field.,300,,"Reject this report if the user provided a value not in the list:
	 - 1=In person
	 - 2=Automated banking machine
	 - 3=Armoured car
	 - 4=Courier
	 - 5=Mail deposit
	 - 7=Other
	 - 8=Night deposit
	 - 9=Quick drop
	 - 10=Self-redemption kiosk
	 - 11=Virtual currency ATM
"
lctr.transaction.largeCashTransactionDetails.methodOther,Method of transaction - other,121070,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the user did not provide a value and lctr.transaction.largeCashTransactionDetails.methodCode is Other (7).
"
lctr.transaction.largeCashTransactionDetails.methodOther,Method of transaction - other,121071,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the user provided a value and lctr.transaction.largeCashTransactionDetails.methodCode is not Other (7).
"
lctr.transaction.largeCashTransactionDetails.methodOther,Method of transaction - other,121072,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.largeCashTransactionDetails.purpose,Purpose of transaction,121090,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.largeCashTransactionDetails.reportingEntityTransactionReference,Reporting entity transaction reference number,121040,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.largeCashTransactionDetails.reportingEntityTransactionReference,Reporting entity transaction reference number,121041,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 200 characters.
"
lctr.transaction.largeCashTransactionDetails.thresholdIndicator,Threshold indicator,121030,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.largeCashTransactionDetails.thresholdIndicator,Threshold indicator,121031,Content,Reject,"Changed November 28, 2024","The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Reject this report if the user provided 'true' and the amount of the transaction is less than $ 10000 CAD or the user provided 'false' and the amount of the transaction is greater than or equal to $ 10000 CAD. Transactions containing foreign currency will have a $ 1000 CAD buffer (above and below) applied to the threshold calculation. A Ministerial Directive is not set.
"
lctr.transaction.largeCashTransactionDetails.thresholdIndicator,Threshold indicator,121032,Content,Warning,"Added November 28, 2024","The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,,"Send a warning if the user provided 'true' and the amount of the transaction is less than $ 10000 CAD or the user provided 'false' and the amount of the transaction is greater than or equal to $ 10000 CAD. Transactions containing foreign currency will have a $ 1000 CAD buffer (above and below) applied to the threshold calculation. A Ministerial Directive is set.
"
lctr.transaction.reportingEntityLocationId,Reporting entity location number,121020,Presence,Reject,,Field is mandatory.,329,,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.reportingEntityLocationId,Reporting entity location number,121021,Format,Reject,,Invalid format.,362,,"Reject this report if the user provided text that is not between 1 and 30 characters, containing only alpha and numeric characters.
"
lctr.transaction.reportingEntityLocationId,Reporting entity location number,121022,Content,Reject,,FINTRAC does not have this location on file for the reporting entity.,320,,"Reject this report if the user provided a branch location that is invalid for the reporting entity given the constraint to make sure this branch is valid and is in Canada.
"
lctr.transaction.startingActions,Starting action list,121100,Content,Reject,,The list must be within the specified size.,332,,"Reject this report if the list of values is not between 1 and 50.
"
lctr.transaction.startingActions.conductors,Conductor list,121250,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,,"Reject this report if the list is not empty and lctr.transaction.largeCashTransactionDetails.methodCode is one of Night deposit (8), Quick drop (9).
"
lctr.transaction.startingActions.conductors,Conductor list,121251,Content,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,,"Reject this report if the list of values is not between 1 and * and if lctr.transaction.largeCashTransactionDetails.methodCode is In person (1) and lctr.transaction.largeCashTransactionDetails.thresholdIndicator is 'true'.
"
lctr.transaction.startingActions.conductors.details.clientNumber,Client number,121900,Format,Reject,,Invalid format.,362,Conductor,"Reject this report if the user provided text that is not between 1 and 100 characters.
"
lctr.transaction.startingActions.conductors.details.emailAddress,Email address,121905,Format,Reject,,Invalid format.,362,Conductor,"Reject this report if the user provided a value that does not adhere to the RFC5322 Internet Message Format or exceeded the maximum length of 200.
"
lctr.transaction.startingActions.conductors.details.onBehalfOfIndicator,Was this transaction conducted on behalf of another person or entity?,121906,Presence,Reject,,Field is mandatory.,329,Conductor,"Reject this report if the user did not provide a value into this field.
"
lctr.transaction.startingActions.conductors.details.onBehalfOfIndicator,Was this transaction conducted on behalf of another person or entity?,121908,Presence,Reject,,"The value entered for this field is inaccurate, based on the value shown in one or more other fields.",302,Conductor,"Reject this report if the user provided 'true' and lctr.transaction.startingActions.conductors.onBehalfOfs is empty or the user provided 'false' and lctr.transaction.startingActions.conductors.onBehalfOfs is not empty.
"
lctr.transaction.startingActions.conductors.entityDetails.address.buildingNumber,House/Building number,121610,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Conductor / Entity,"Reject this report if the user provided a value and any of lctr.transaction.startingActions.conductors.entityDetails.address.unstructured are not empty.
"
lctr.transaction.startingActions.conductors.entityDetails.address.buildingNumber,House/Building number,121611,Format,Reject,,Invalid format.,362,Conductor / Entity,"Reject this report if the user provided text that is not between 1 and 10 characters.
"
lctr.transaction.startingActions.conductors.entityDetails.address.city,City,121690,Presence,Reject,,"This field was not completed, but is required based on the value entered elsewhere in the report.",330,Conductor / Entity,"Reject this report if the user did not provide a value and lctr.transaction.largeCashTransactionDetails.methodCode is 1 and lctr.transaction.largeCashTransactionDetails.thresholdIndicator is true and lctr.transaction.startingActions.details.depositToBusinessAccountIndicator is false and lctr.transaction.startingActions.conductors.entityDetails.addressTypeCode is 1.
"
lctr.transaction.startingActions.conductors.entityDetails.address.city,City,121691,Presence,Reject,,This field is not required based on the value shown in one or more other fields.,364,Conductor / Entity,"Reject this report if the user provided a value and any of lctr.transaction.startingActions.conductors.entityDetails.address.unstructured are not empty.
"
lctr.transaction.startingActions.conductors.entityDetails.address.city,City,121693,Presence,Warning,,"This field was not completed, but may be required based on the value entered elsewhere in the report.",375,Conductor / Entity,"Send a warning if the user did not provide a value and lctr.transaction.startingActions.conductors.entityDetails.addressTypeCode is Structured address (1) and lctr.transaction.largeCashTransactionDetails.methodCode is one of Automated banking machine (2), Armoured car (3), Courier (4), Mail deposit (5), Other (7).
"
lctr.transaction.startingActions.conductors.entityDetails.address.city,City,121694,Presence,Warning,,"This field was not completed, but may be required based on the value entered elsewhere in the report.",375,Conductor / Entity,"Send a warning if the user did not provide a value  lctr.transaction.startingActions.conductors.entityDetails.addressTypeCode is '1' and and there is at least one completing action where lctr.transaction.completingActions.details.dispositionCode is one of Outgoing email money transfer (20), Holding funds (21), Outgoing domestic funds transfer (24), Outgoing international funds transfer (25) and the corresponding amount is greater than or equal to $ 1000 CAD.
"
